step,active_fraction,changed_fraction,multi_cell_cluster_count,largest_cluster_size,multicell_active_fraction,multi_cell_cluster_count_rolling,largest_cluster_size_rolling
1,0.15209999680519104,0.0987,218,37,0.1475,218.0,37.0
2,0.13089999556541443,0.0256,184,36,0.1289,201.0,36.5
3,0.12359999865293503,0.0101,175,36,0.1225,192.33333333333334,36.333333333333336
4,0.12049999833106995,0.0055,172,36,0.1199,187.25,36.25
5,0.11969999969005585,0.0034,173,36,0.1191,184.4,36.2
6,0.11860000342130661,0.0033,172,36,0.1181,182.33333333333334,36.166666666666664
7,0.11829999834299088,0.0019,171,36,0.1179,180.71428571428572,36.142857142857146
8,0.11860000342130661,0.0021,171,36,0.1176,179.5,36.125
9,0.11840000003576279,0.002,170,36,0.1179,178.44444444444446,36.111111111111114
10,0.11949999630451202,0.0027,170,36,0.1181,177.6,36.1
11,0.11879999935626984,0.0023,170,36,0.1182,176.9090909090909,36.09090909090909
12,0.11860000342130661,0.0014,170,36,0.1184,176.33333333333334,36.083333333333336
13,0.11900000274181366,0.0016,169,36,0.1184,175.76923076923077,36.07692307692308
14,0.11980000138282776,0.0024,169,37,0.1192,175.28571428571428,36.142857142857146
15,0.11999999731779099,0.0022,170,38,0.1194,174.93333333333334,36.266666666666666
16,0.1200999990105629,0.0027,169,38,0.1194,174.5625,36.375
17,0.12030000239610672,0.0028,169,38,0.1196,174.23529411764707,36.470588235294116
18,0.12049999833106995,0.003,167,39,0.1197,173.83333333333334,36.611111111111114
19,0.11999999731779099,0.0029,167,39,0.1192,173.47368421052633,36.73684210526316
20,0.11860000342130661,0.0028,167,39,0.1181,173.15,36.85
21,0.11789999902248383,0.0021,165,39,0.1176,172.76190476190476,36.95238095238095
22,0.11919999867677689,0.0027,164,39,0.1177,172.36363636363637,37.04545454545455
23,0.11829999834299088,0.0029,164,39,0.1175,172.0,37.130434782608695
24,0.11749999970197678,0.002,163,39,0.117,171.625,37.208333333333336
25,0.11749999970197678,0.0014,161,39,0.1172,171.2,37.28
26,0.11779999732971191,0.0017,161,39,0.117,170.80769230769232,37.34615384615385
27,0.11819999665021896,0.0024,161,39,0.1173,170.44444444444446,37.407407407407405
28,0.11739999800920486,0.0026,160,39,0.1166,170.07142857142858,37.464285714285715
29,0.1168999969959259,0.0021,159,40,0.1165,169.68965517241378,37.55172413793103
30,0.11710000038146973,0.002,158,39,0.1162,169.3,37.6
31,0.11659999936819077,0.0017,158,39,0.1163,168.93548387096774,37.645161290322584
32,0.11729999631643295,0.0021,157,39,0.1162,168.5625,37.6875
33,0.11659999936819077,0.0019,157,39,0.1162,168.21212121212122,37.72727272727273
34,0.11680000275373459,0.0016,157,39,0.1161,167.88235294117646,37.76470588235294
35,0.11670000106096268,0.0015,157,39,0.1163,167.57142857142858,37.8
36,0.11599999666213989,0.0015,156,39,0.1158,167.25,37.833333333333336
37,0.11599999666213989,0.0018,155,39,0.1155,166.9189189189189,37.86486486486486
38,0.11569999903440475,0.0023,153,39,0.115,166.55263157894737,37.89473684210526
39,0.11550000309944153,0.0022,152,39,0.1145,166.17948717948718,37.92307692307692
40,0.1152999997138977,0.0024,151,39,0.1145,165.8,37.95
41,0.11580000072717667,0.0027,152,32,0.1149,165.46341463414635,37.80487804878049
42,0.11550000309944153,0.0023,152,33,0.1149,165.14285714285714,37.69047619047619
43,0.11580000072717667,0.0017,152,33,0.115,164.8372093023256,37.58139534883721
44,0.11569999903440475,0.0021,152,33,0.1151,164.54545454545453,37.47727272727273
45,0.11580000072717667,0.0019,151,33,0.1153,164.24444444444444,37.37777777777778
46,0.1160999983549118,0.0021,150,33,0.1154,163.93478260869566,37.28260869565217
47,0.11640000343322754,0.0023,150,33,0.1153,163.63829787234042,37.191489361702125
48,0.1160999983549118,0.0025,149,33,0.1154,163.33333333333334,37.104166666666664
49,0.11630000174045563,0.002,149,34,0.1158,163.0408163265306,37.04081632653061
50,0.11630000174045563,0.0018,148,35,0.1156,162.74,37.0
51,0.11640000343322754,0.0023,148,36,0.1155,161.34,36.98
52,0.11590000241994858,0.0029,145,36,0.1153,160.56,36.98
53,0.11630000174045563,0.0024,146,37,0.1155,159.98,37.0
54,0.11540000140666962,0.0027,144,37,0.1145,159.42,37.02
55,0.11550000309944153,0.0023,143,37,0.1148,158.82,37.04
56,0.11559999734163284,0.0023,142,37,0.115,158.22,37.06
